State Name,Population,People Per Sq Mi,Hottest month's avg high (F),Coldest month's avg high (F),Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Median home price,Median home sqft,Median home cost per sqft,Homeownership Rate,Population growth since 2010,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,UV Index,Single Population,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Predominant Timezone
Alabama,3127032,964,90,54,56,108,211,0,68,52,6,31,56,36,0.29,45810.00,0.14,177141.00,1866,123.00,0.53,0.04,0.36,0.59,0.01,0.32,0.59,0.04,0.04,5.00,0.53,0.16,29.00,Central Standard Time
Alaska,690930,278,66,20,26,125,128,73,26,26,5,39,50,33,0.29,72225.00,0.07,299824.00,1884,182.00,0.54,0.09,0.36,0.51,0.06,0.03,0.60,0.06,0.07,1.00,0.49,0.18,37.00,Alaska Standard Time
Arizona,6200410,2276,103,64,10,38,293,1,53,38,5,24,47,36,0.29,51551.00,0.12,427254.00,1705,249.00,0.54,0.11,0.44,0.48,0.03,0.04,0.55,0.31,0.13,6.00,0.51,0.17,12.00,Mountain Standard Time
Arkansas,1957973,1103,91,49,50,97,217,4,66,50,6,32,56,35,0.26,42006.00,0.14,151194.00,1904,124.00,0.50,0.08,0.35,0.58,0.01,0.19,0.65,0.09,0.06,4.00,0.51,0.15,29.00,Central Standard Time
California,36504637,5847,86,62,16,45,271,0,53,45,5,23,38,35,0.33,64596.00,0.10,806821.00,1653,489.00,0.50,0.07,0.61,0.31,0.14,0.05,0.36,0.39,0.27,5.00,0.51,0.22,16.00,Pacific Standard Time
Colorado,4402472,2859,87,43,16,81,245,57,45,29,6,20,42,35,0.41,60826.00,0.07,460081.00,2080,247.00,0.59,0.13,0.49,0.41,0.03,0.04,0.67,0.22,0.10,5.00,0.49,0.18,28.00,Mountain Standard Time
Connecticut,3553538,2454,83,36,49,117,192,35,59,39,7,15,28,40,0.38,74228.00,0.10,342040.00,2015,183.00,0.59,0.01,0.54,0.41,0.04,0.09,0.68,0.15,0.16,3.00,0.51,0.22,0.00,Eastern Standard Time
Delaware,390313,3128,86,41,45,113,200,13,63,44,7,37,54,35,0.32,58167.00,0.10,226920.00,1858,156.00,0.52,0.08,0.54,0.39,0.03,0.28,0.54,0.09,0.09,4.00,0.57,0.18,N/A,Eastern Standard Time
District of Columbia,712816,11660,87,43,43,114,203,14,63,45,9,56,63,34,0.56,69235.00,0.13,629000.00,1148,548.00,0.41,0.15,0.92,0.05,0.03,0.46,0.36,0.10,0.14,4.00,0.30,0.18,15.00,Eastern Standard Time
Florida,15302712,3754,90,71,56,119,241,0,73,63,7,27,48,40,0.30,48779.00,0.11,367317.00,1607,233.00,0.52,0.11,0.50,0.45,0.02,0.17,0.50,0.27,0.22,6.00,0.52,0.19,11.00,Eastern Standard Time
